0,0,100
0,1,100
0,2,100
0,3,150
0,5,250
0,7,100
1,0,100
1,1,100
1,2,100
1,3,80
1,5,250
1,7,100
2,0,80
2,1,100
2,2,100
2,3,150
2,5,250
2,7,100
3,0,80
3,1,90
3,2,100
3,3,100
3,5,250
3,7,80
4,0,100
4,1,100
4,2,100
4,3,80
4,5,250
4,7,100
5,0,80
5,1,100
5,2,100
5,3,50
5,5,250
5,7,90
6,0,150
6,1,120
6,2,100
6,3,150
6,5,250
6,7,135
7,0,60
7,1,60
7,2,60
7,3,150
7,5,250
7,7,60
8,0,60
8,1,60
8,2,60
8,3,80
8,5,250
8,7,60
9,0,80
9,1,80
9,2,100
9,3,80
9,5,250
9,7,50
10,0,70
10,1,90
10,2,100
10,3,150
10,5,250
10,7,80
11,0,60
11,1,100
11,2,75
11,3,80
11,5,250
11,7,80
